NT	OT
Heb.8.10	Ezek.36.26
Heb.8.10	Ezek.37.27
Heb.8.10	Jer.24.7
Heb.8.10	Jer.31.33
Heb.8.10	Jer.32.38
Heb.8.10	Jer.32.40
Heb.8.10	Zech.13.9
Heb.8.10	Zech.8.8
Heb.8.12	Isa.43.25
Heb.8.6	Isa.59.21
Heb.8.8	Jer.31.31
Heb.9.12	Isa.53.5
Heb.9.22	Lev.17.11
Jas.1.14	Jer.17.9
Jas.1.14	Prov.4.23
Jas.1.15	Gen.4.7
Jas.1.17	Mal.3.6
Jas.1.17	Num.23.19
Jas.1.17	Prov.2.6
Jas.1.17	Ps.84.11
Jas.1.19	Prov.10.19
Jas.1.19	Prov.13.3
Jas.1.19	Prov.14.29
Jas.1.19	Prov.16.32
Jas.1.19	Prov.17.27
Jas.1.19	Prov.18.13
Jas.1.19	Prov.21.23
Jas.1.21	Ps.119.9
Jas.1.22	Josh.1.8
Jas.1.25	Ps.119.1
Jas.1.27	Isa.1.16
Jas.1.5	Jer.29.12
Jas.1.5	Prov.2.3
Jas.1.5	Prov.3.5
Jas.1.5	Prov.3.6
Jas.2.23	Gen.15.6
Jas.2.5	Ps.31.19
Jas.3.17	Prov.2.6
Jas.3.6	Prov.18.21
Jas.3.6	Ps.120.2
Jas.4.10	Prov.22.4
Jas.4.10	Ps.147.6
Jas.4.13	Prov.27.1
Jas.4.15	Ps.37.5
Jas.4.6	Prov.29.23
Jas.4.6	Prov.3.34
Jas.4.8	1Chr.28.9
Jas.4.8	2Chr.15.2
Jas.4.8	Isa.55.6
Jas.4.8	Isa.55.7
Jas.4.8	Mal.3.7
Jas.4.8	Ps.145.18
Jas.4.8	Zech.1.3
Jas.4.9	2Chr.7.14
Jas.5.11	Job.1.1
Jas.5.16	Jer.29.12
Jas.5.16	Jer.33.3
Jas.5.16	Prov.15.29
Jas.5.16	Ps.145.18
Jas.5.16	Ps.34.15
Jas.5.7	Ps.37.7
John.1.1	Gen.1.1
John.1.1	Isa.7.14
John.1.1	Isa.9.6
John.1.1	Prov.8.22
John.1.14	Isa.40.5
John.1.23	Isa.40.3
John.1.29	Isa.53.7
John.1.5	Gen.1.3
John.10.10	Ezek.34.2
John.10.11	Ps.23.1
John.10.14	Nah.1.7
John.10.14	Ps.23.1
John.10.27	Nah.1.7
John.10.27	Ps.23.1
John.10.28	Isa.45.17
John.10.28	Isa.54.17
John.10.34	Ps.82.6
John.12.15	Isa.62.11
John.12.15	Zech.9.9
John.12.35	Isa.55.6
John.12.38	Isa.53.1
John.12.39	Isa.44.18
John.12.40	Isa.6.10
John.12.40	Isa.6.9
John.12.46	Isa.60.1
John.13.17	Deut.11.27
John.13.17	Josh.1.8
John.13.18	Ps.41.9
John.13.34	Lev.19.18
John.13.35	Ps.133.1
John.14.1	Isa.12.2
John.14.1	Isa.26.3
John.14.1	Ps.42.5
John.14.21	Deut.11.27
John.14.21	Josh.1.8
John.14.23	Prov.8.17
John.14.23	Ps.91.14
John.14.27	Isa.26.3
John.14.27	Isa.41.10
John.14.27	Num.6.26
John.14.6	Isa.35.8
John.15.1	Isa.27.2
John.15.1	Jer.2.21
John.15.14	Deut.28.1
John.15.15	Amos.3.7
John.15.15	Ps.25.14
John.15.16	Jer.1.5
John.15.16	Ps.37.4
John.15.5	Prov.11.30
John.15.6	Ps.1.3
John.15.7	Jer.15.16
John.15.7	Prov.10.24
John.15.7	Ps.37.4
John.16.33	Isa.26.3
John.17.17	Ps.119.160
John.17.21	Ps.133.1
John.17.3	Jer.9.23
John.19.24	Ps.22.18
John.19.28	Ps.22.15
John.19.28	Ps.69.21
John.19.36	Ps.34.20
John.2.17	Ps.69.9
John.3.14	Num.21.7
John.3.16	Gen.22.12
John.3.21	Ps.31.19
John.3.3	Ezek.36.26
John.3.34	Isa.59.21
John.3.34	Isa.61.1
John.3.5	Ezek.36.25
John.4.10	Isa.44.3
John.4.14	Isa.58.11
John.4.14	Isa.59.21
John.4.14	Jer.17.13
John.4.24	1Chr.28.9
John.4.24	1Sam.7.3
John.4.36	Eccl.11.6
John.5.24	Isa.45.17
John.5.25	Ezek.37.4
John.5.44	Isa.44.18
John.5.46	Deut.18.15
John.5.46	Deut.18.18
John.6.40	Isa.45.17
John.6.45	Isa.48.17
John.6.45	Isa.54.13
John.6.45	Jer.31.33
John.6.63	Isa.55.11
John.6.63	Ps.119.93
John.6.67	Josh.24.15
John.7.16	Isa.59.21
John.7.24	1Sam.16.7
John.7.37	Isa.44.3
John.7.37	Isa.55.1
John.7.38	Isa.12.3
John.7.38	Isa.44.3
John.7.38	Isa.58.11
John.7.38	Isa.59.21
John.7.38	Prov.10.11
John.7.38	Prov.18.4
John.7.38	Zech.14.8
John.7.39	Isa.59.21
John.8.12	Isa.60.1
John.8.12	Isa.9.2
John.8.12	Job.33.28
John.8.12	Prov.4.18
John.8.12	Ps.18.28
John.8.12	Ps.27.1
John.8.12	Ps.36.9
John.8.32	Isa.61.1
John.8.43	Isa.44.18
John.8.54	Isa.41.10
John.8.58	Exod.3.14
John.9.31	Prov.15.29
John.9.4	Ps.90.12
Jude.1.24	Ps.16.11
Luke.1.13	Isa.41.10
Luke.1.16	Isa.40.3
Luke.1.30	Isa.41.10
Luke.1.37	Gen.18.14
Luke.1.37	Jer.32.17
Luke.1.37	Jer.32.27
Luke.1.37	Num.11.23
Luke.1.50	Lam.3.22
Luke.1.76	Isa.40.3
Luke.1.79	Ps.23.4
Luke.10.19	Ezek.2.6
Luke.10.19	Isa.11.8
Luke.10.19	Ps.91.13
Luke.10.27	Deut.30.6
Luke.10.27	Deut.6.5
Luke.10.27	Lev.19.18
Luke.11.28	Deut.11.27
Luke.11.28	Deut.28.1
Luke.11.28	Josh.1.8
Luke.11.28	Ps.1.1
Luke.11.28	Ps.112.1
Luke.11.28	Ps.119.1
Luke.11.42	Mic.6.8
Luke.11.9	Isa.55.6
Luke.11.9	Jer.29.12
Luke.11.9	Jer.29.13
Luke.11.9	Jer.33.3
Luke.11.9	Ps.105.3
Luke.11.9	Ps.118.5
Luke.11.9	Ps.27.8
Luke.11.9	Ps.34.10
Luke.11.9	Ps.34.4
Luke.11.9	Ps.50.15
Luke.12.12	Jer.1.9
Luke.12.22	Prov.16.3
Luke.12.30	Ps.23.1
Luke.12.32	Deut.31.6
Luke.14.11	Prov.29.23
Luke.16.15	1Sam.16.7
Luke.16.15	Isa.5.20
Luke.18.1	Isa.40.31
Luke.18.1	Ps.55.16
Luke.18.14	Prov.29.23
Luke.19.10	Ezek.34.16
Luke.2.10	Isa.41.10
Luke.2.11	Isa.9.6
Luke.2.52	Prov.3.3
Luke.20.17	Isa.28.16
Luke.20.17	Ps.118.22
Luke.20.42	Ps.110.1
Luke.21.15	Isa.50.4
Luke.21.15	Jer.1.9
Luke.21.27	Dan.7.13
Luke.21.33	Num.23.19
Luke.22.32	1Sam.23.16
Luke.22.43	1Sam.23.16
Luke.23.43	Ps.50.15
Luke.23.46	Ps.31.5
Luke.3.4	Isa.43.19
Luke.4.10	Ps.91.11
Luke.4.18	Isa.42.7
Luke.4.18	Isa.61.1
Luke.4.18	Ps.146.7
Luke.4.4	Deut.8.3
Luke.4.8	1Sam.7.3
Luke.6.36	Mic.6.8
Luke.6.38	Deut.15.10
Luke.6.38	Prov.3.9
Luke.6.45	Prov.4.23
Luke.6.46	Mal.1.6
Luke.7.20	Isa.35.5
Luke.7.22	Isa.35.5
Luke.7.22	Isa.61.1
Luke.8.10	Isa.6.9
Mark.1.2	Isa.40.3
Mark.10.27	Gen.18.14
Mark.10.27	Jer.32.27
Mark.10.27	Job.42.2
Mark.10.6	Gen.2.24
Mark.11.17	Isa.56.7
Mark.11.23	Ps.37.4
Mark.11.24	Isa.65.24
Mark.12.10	Isa.28.16
Mark.12.29	Deut.6.4
Mark.12.30	Deut.6.5
Mark.12.33	1Sam.15.22
Mark.12.35	Ps.110.1
Mark.13.19	Gen.1.1
Mark.13.31	Isa.40.8
Mark.14.38	Prov.4.23
Mark.15.34	Ps.22.1
Mark.2.7	Isa.43.25
Mark.4.12	Isa.6.9
Mark.4.26	Eccl.11.6
Mark.7.21	Jer.17.9
Mark.7.21	Prov.4.23
Mark.7.6	Ezek.33.31
Mark.7.6	Isa.29.13
Mark.8.18	Deut.29.4
Mark.8.18	Ezek.12.2
Mark.8.18	Isa.42.18
Mark.8.18	Isa.44.18
Mark.8.18	Isa.6.9
Mark.8.18	Jer.5.21
Mark.8.18	Ps.115.5
Mark.8.18	Ps.69.23
Matt.1.23	Isa.7.14
Matt.1.23	Isa.9.6
Matt.10.19	Jer.1.9
Matt.11.10	Mal.3.1
Matt.11.28	Isa.28.12
Matt.11.28	Isa.45.22
Matt.11.28	Isa.48.17
Matt.11.28	Isa.55.1
Matt.11.28	Jer.6.16
Matt.11.28	Ps.116.7
Matt.11.28	Ps.55.22
Matt.11.29	Jer.6.16
Matt.11.29	Ps.32.8
Matt.11.3	Isa.35.5
Matt.11.5	Isa.35.4
Matt.11.5	Isa.61.1
Matt.12.34	Prov.4.23
Matt.12.35	Prov.18.21
Matt.12.36	Eccl.12.14
Matt.12.43	Isa.44.3
Matt.12.7	1Sam.15.22
Matt.13.14	Isa.44.18
Matt.13.14	Isa.6.9
Matt.13.35	Jer.33.3
Matt.13.35	Ps.78.2
Matt.13.43	Dan.12.3
Matt.13.44	Prov.2.2
Matt.15.19	Jer.17.9
Matt.15.19	Prov.4.23
Matt.15.8	Isa.29.13
Matt.16.18	Isa.28.16
Matt.16.18	Isa.54.17
Matt.16.3	Eccl.3.1
Matt.18.4	Prov.29.23
Matt.19.26	Gen.18.14
Matt.19.26	Jer.32.17
Matt.19.26	Jer.32.27
Matt.19.26	Job.42.2
Matt.19.3	Gen.2.24
Matt.19.4	Gen.1.27
Matt.2.11	Deut.16.16
Matt.2.15	Hos.11.1
Matt.2.18	Jer.31.15
Matt.2.6	Ezek.34.23
Matt.2.6	Mic.5.2
Matt.20.28	Isa.53.5
Matt.21.16	Ps.8.2
Matt.21.22	Job.22.28
Matt.21.4	Zech.9.9
Matt.21.42	Isa.28.16
Matt.21.42	Ps.118.22
Matt.21.5	Isa.62.11
Matt.21.5	Zech.9.9
Matt.22.37	Deut.10.12
Matt.22.37	Deut.30.6
Matt.22.37	Deut.6.5
Matt.22.39	Lev.19.18
Matt.23.12	Prov.29.23
Matt.23.23	1Sam.15.22
Matt.24.15	Dan.9.27
Matt.24.30	Dan.7.13
Matt.24.35	Isa.34.4
Matt.24.35	Isa.40.8
Matt.24.35	Isa.51.6
Matt.24.35	Isa.54.10
Matt.24.35	Isa.55.11
Matt.24.35	Jer.31.35
Matt.24.35	Num.23.19
Matt.24.35	Prov.30.5
Matt.24.35	Ps.102.26
Matt.24.35	Ps.19.7
Matt.24.35	Ps.89.34
Matt.25.40	Prov.19.17
Matt.26.31	Zech.13.7
Matt.26.64	Dan.7.13
Matt.27.46	Ps.22.1
Matt.28.18	Isa.9.6
Matt.28.19	Isa.49.6
Matt.28.20	Isa.41.10
Matt.28.20	Josh.1.5
Matt.3.1	Isa.40.3
Matt.3.16	Isa.61.1
Matt.4.10	1Sam.7.3
Matt.4.10	Deut.10.20
Matt.4.10	Deut.6.13
Matt.4.16	Isa.9.2
Matt.4.4	Deut.8.3
Matt.4.6	Ps.91.11
Matt.4.7	Deut.6.16
Matt.5.13	Lev.2.13
Matt.5.14	Prov.4.18
Matt.5.16	Isa.60.1
Matt.5.24	1Sam.15.22
Matt.5.3	2Chr.7.14
Matt.5.3	Isa.57.15
Matt.5.3	Isa.61.1
Matt.5.3	Isa.66.2
Matt.5.3	Prov.16.19
Matt.5.3	Prov.29.23
Matt.5.3	Ps.34.18
Matt.5.3	Ps.51.17
Matt.5.39	Prov.20.22
Matt.5.4	Isa.61.2
Matt.5.4	Ps.30.5
Matt.5.44	Prov.25.21
Matt.5.45	Ps.145.9
Matt.5.5	Isa.29.19
Matt.5.5	Ps.37.11
Matt.5.6	Isa.55.1
Matt.5.6	Ps.107.9
Matt.5.6	Ps.145.19
Matt.5.8	Ezek.36.25
Matt.5.8	Prov.22.11
Matt.5.8	Ps.24.4
Matt.5.8	Ps.51.10
Matt.5.9	Ps.120.6
Matt.6.24	Josh.24.15
Matt.6.25	Prov.16.3
Matt.6.25	Ps.37.5
Matt.6.25	Ps.55.22
Matt.6.31	Ps.55.22
Matt.6.33	1Kgs.17.13
Matt.6.33	1Kgs.3.11
Matt.6.33	2Chr.1.7
Matt.6.33	2Chr.31.20
Matt.6.33	Hag.1.2
Matt.6.33	Mal.3.10
Matt.6.33	Prov.2.1
Matt.6.33	Prov.22.4
